date, pm25, pm10, o3, no2, so2, co
2018/5/27, 75, 111, 18, 4, 2, 1
2018/5/28, 87, 67, 13, 5, 4, 1
2018/5/29, 51, 87, 11, 7, 2, 1
2018/5/30, 64, 93, 13, 4, 2, 1
2018/5/31, 61, 114, 12, 3, 2, 1
2018/6/1, 81, 146, 14, 4, 2, 1
2018/6/2, 104, 63, 13, 2, 2, 1
2018/6/3, 65, 36, 12, 3, 2, 1
2018/6/4, 35, 65, 13, 5, 2, 1
2018/6/5, 57, 62, 15, 5, 2, 1
2018/6/6, 61, 37, 14, 3, 2, 1
2018/6/7, 50, 75, 10, 5, 2, 1
2018/6/8, 72, 71, 11, 6, 2, 1
2018/6/9, 59, 65, 12, 5, 2, 1
2018/6/10, 52, 69, 13, 5, 2, 1
2018/6/11, 56, 59, 16, 5, 3, 1
2018/6/12, 52, 51, 13, 3, 2, 1
2018/6/13, 45, 71, 10, 6, 2, 1
2018/6/14, 62, 102, 12, 6, 2, 1
2018/6/15, 75, 68, 10, 5, 3, 1
2018/6/16, 66, 68, 8, 5, 2, 1
2018/6/17, 64, 21, 14, 6, 2, 1
2018/6/18, 48, 28, 10, 6, 2, 1
2018/6/19, 51, 47, 9, 6, 3, 1
2018/6/20, 57, 85, 14, 8, 3, 1
2018/6/21, 63, 79, 9, 6, 2, 1
2018/6/22, 60, 63, 7, 6, 3, 1
2018/6/23, 60, 45, 9, 5, 3, 1
2018/6/24, 64, 18, 10, 4, 3, 1
2018/6/25, 36, 37, 9, 6, 3, 1
2018/6/26, 45, 37, 9, 4, 3, 1
2018/6/27, 45, 57, 10, 4, 2, 1
2018/6/28, 57, 80, 12, 5, , 2
2018/6/29, 68, 104, 9, 6, , 2
2018/6/30, 88, 98, 11, 7, , 2
2018/7/1, 99, 50, 10, 6, , 1
2018/1/2, 181, 57, 8, 4, 2, 6
2018/1/3, 147, 69, 8, 6, 3, 7
2018/1/4, 163, 134, 6, 11, 7, 15
2018/1/5, 257, 164, 5, 12, 8, 19
2018/1/6, 309, 171, 5, 17, 14, 21
2018/1/7, 316, 90, 10, 9, 7, 11
2018/1/8, 190, 58, 10, 5, 3, 5
2018/1/9, 150, 48, 14, 5, 4, 5
2018/1/10, 130, 68, 16, 7, 5, 8
2018/1/11, 159, 166, 7, 16, 10, 21
2018/1/12, 296, 131, 7, 18, 14, 17
2018/1/13, 247, 139, 7, 18, 13, 20
2018/1/14, 268, 112, 7, 13, 10, 14
2018/1/15, 225, 99, 9, 13, 8, 12
2018/1/16, 207, 93, 10, 12, 9, 11
2018/1/17, 193, 139, 8, 15, 9, 17
2018/1/18, 261, 134, 12, 14, 10, 17
2018/1/19, 251, 68, 13, 7, 4, 7
2018/1/20, 155, 97, 9, 12, 8, 11
2018/1/21, 200, 95, 11, 9, 5, 11
2018/1/22, 201, , , , , 
2018/1/25, 164, 134, 8, 12, 9, 14
2018/1/26, 248, 105, 11, 12, 11, 11
2018/1/27, 211, 63, 13, 5, 6, 5
2018/1/28, 149, 69, 13, 6, 6, 6
2018/1/29, 162, 105, 14, 11, 9, 12
2018/1/30, 210, 155, 11, 15, 12, 20
2018/1/31, 291, 121, 13, 13, 12, 15
2018/2/1, 232, 74, 10, 8, 7, 8
2018/2/2, 170, , , , , 
2018/2/4, 232, 146, 13, 11, 8, 18
2018/2/5, 265, 124, 10, 15, 12, 13
2018/2/6, 243, 85, 16, 9, 6, 11
2018/2/7, 180, 108, 11, 14, 9, 13
2018/2/8, 215, 56, 16, 5, 5, 4
2018/2/9, 108, 47, 16, 1, 3, 2
2018/2/10, 88, 50, 15, 3, 3, 4
2018/2/11, 111, 43, 15, 4, 4, 4
2018/2/12, 115, 175, 12, 16, 10, 23
2018/2/13, 314, 65, 17, 8, 6, 8
2018/2/14, 146, 109, 15, 13, 6, 12
2018/2/15, 217, 97, 13, 13, 8, 12
2018/2/16, 199, 123, 10, 18, 11, 15
2018/2/17, 233, 74, 20, 11, 6, 9
2018/2/18, 157, 63, 17, 7, 5, 6
2018/2/19, 148, 110, 16, 12, 6, 14
2018/2/20, 225, 98, 17, 12, 7, 12
2018/2/21, 203, 121, 16, 13, 7, 16
2018/2/22, 242, 98, 17, 13, 6, 11
2018/2/23, 195, 80, 18, 12, 12, 9
2018/2/24, 167, 83, 16, 13, 10, 9
2018/2/25, 173, 71, 16, 12, , 8
2018/2/26, 159, 41, 20, 5, , 3
2018/2/27, 105, 77, 16, 12, , 9
2018/2/28, 173, 44, 20, 5, , 4
2018/3/1, 108, 84, 20, 11, , 8
2018/3/2, 170, 84, 15, 12, , 10
2018/3/3, 160, 40, 21, 4, , 3
2018/3/4, 99, 59, 21, 6, , 5
